title,url,explicit,genre tags,generalized mood tags,mood tag
Wild + Free,https://open.spotify.com/embed/playlist/37i9dQZF1DX5Q5wA1hY6bS?si=FENQ94yhSjagCq-kLz_umw,yes,multiple,upbeat,happy
Acoustic Spring,https://open.spotify.com/embed/playlist/37i9dQZF1DWUNIrSzKgQbP?si=R3oXOF5KRSih7Q1kgBa7NQ,no,acoustic,mellow,"chill, neutral"
Deep Dark Indie,https://open.spotify.com/embed/playlist/37i9dQZF1DWTtTyjgd08yp?si=iqB0JLHcQbO7zuicrKx2yQ,yes,indie,gloomy,"sad, chill"
Greener Pastures,https://open.spotify.com/embed/playlist/37i9dQZF1DXdDIhtzn7T2e?si=25baFZTdTmCB228sjb-NdA,yes,country,mellow,"happy, chill"
Front Porch,https://open.spotify.com/embed/playlist/37i9dQZF1DXa2PsvJSPnPf?si=QPnCMuptTvKDKaeRie3OgQ,no,"folk, country",mellow,"chill, neutral"
All Funked Up,https://open.spotify.com/embed/playlist/37i9dQZF1DX4WgZiuR77Ef?si=0zmS_S5BR_6nWHA9JgWNrw,yes,r&b,upbeat,"happy, confident"
Rock Hard,https://open.spotify.com/embed/playlist/37i9dQZF1DWWJOmJ7nRx0C?si=3Uwul1PnSmaGEJ3yqSFCVw,yes,"rock, metal",upbeat,confident
One More Rep,https://open.spotify.com/embed/playlist/37i9dQZF1DX5OUjSS1OMgV?si=UPR45WnbReyp1N_-3MSEgA,yes,"rock, metal",upbeat,confident
Mellow Bars,https://open.spotify.com/embed/playlist/37i9dQZF1DWT6MhXz0jw61?si=yLe3YQKhTAyo49SL92NWzw,yes,"hiphop, r&b",mellow,"happy, chill, neutral"
Clincally Cold,https://open.spotify.com/embed/playlist/37i9dQZF1DWYfVy6zzMSPv?si=aAA9dhydT-2RoDOdGi2uRg,yes,hiphop,gloomy,"chill, sad"
Workout Twerkout,https://open.spotify.com/embed/playlist/37i9dQZF1DX0HRj9P7NxeE?si=emJw41DuR3Wrq0ci-qM69w,yes,hiphop,upbeat,"happy, confident"
Wake Up Gently,https://open.spotify.com/embed/playlist/37i9dQZF1DX7cZxYLqLUJl?si=4iQYMNyCR_uszbdDHa_9hQ,no,instrumental,mellow,chill
